Gene,count,mean,median,max,min,std
25962,942,64.055,67.0,94.0,0.0,17.655245188970973
351,949,67.786,71.0,95.0,0.0,17.391511396904775
3191,953,55.46,58.0,90.0,0.0,14.319897327127014
1994,955,59.296,62.0,84.0,0.0,14.721994468179952
7706,956,58.398,61.0,88.0,0.0,14.38737615385768
4609,959,45.503,47.0,69.0,0.0,11.505753924596743
2100,947,53.813,56.0,79.0,0.0,14.446893913355346
3187,953,40.753,42.0,63.0,0.0,10.662536315562104
57664,948,49.451,52.0,72.0,0.0,13.269124638372672
4343,947,41.439,43.0,63.0,0.0,11.43954291666158
7182,924,35.132,37.0,60.0,0.0,11.439380902629104
6047,951,45.326,47.0,69.0,0.0,12.163456485459784
23476,928,35.629,38.0,61.0,0.0,11.290298039902659
8359,952,40.785,42.0,64.0,0.0,10.988153371450297
120892,955,38.982,40.0,62.0,0.0,10.338983053016895
6780,789,25.753,31.0,50.0,0.0,13.91199247176818
4914,958,44.714,46.0,71.0,0.0,11.36527049274998
4869,563,17.382,27.0,50.0,0.0,15.541995677184756
7314,494,14.979,0.0,44.0,0.0,15.331392976850166
7316,852,29.721,34.0,54.0,0.0,13.163830956277334
10482,958,43.109,45.0,66.0,0.0,10.93941450854614
2885,868,30.018,33.0,52.0,0.0,12.54563944440733
328,947,38.654,40.0,60.0,0.0,10.699755547150074
11113,942,38.03,40.0,60.0,0.0,11.039971964682744
9928,956,43.201,45.0,64.0,0.0,11.118372957281888
7514,956,41.07,42.0,68.0,0.0,10.592606067597497
2099,949,44.905,46.0,66.0,0.0,12.268516270987762
3845,913,33.658,36.0,55.0,0.0,11.530828070697957
7415,506,15.432,25.0,43.0,0.0,15.436179956571237
3312,914,33.488,36.0,57.0,0.0,11.494693731630433
7532,740,24.019,30.0,48.0,0.0,14.670919360247158
112399,947,41.793,43.0,66.0,0.0,11.719620322369686
7846,625,19.736,28.0,47.0,0.0,15.586636816428593
9401,922,34.167,36.0,55.0,0.0,11.241507126826122
10551,844,28.643,33.0,50.0,0.0,12.973737659937049
4000,858,29.839,33.0,52.0,0.0,12.91990723662531
23363,758,24.555,30.0,51.0,0.0,14.336125679537675
7311,523,15.816,26.0,41.0,0.0,15.270734734757832
9493,753,24.885,31.0,50.0,0.0,14.76420525313695
9564,745,24.559,30.0,48.0,0.0,14.859250193610588
2782,910,34.105,36.0,56.0,0.0,11.943643733200753
3725,866,29.578,33.0,50.0,0.0,12.419507243049548
55716,948,37.591,39.0,58.0,0.0,10.424797139292227
6233,274,8.026,0.0,40.0,0.0,13.151360472676668
9343,913,32.384,35.0,57.0,0.0,11.100890674796045
2146,490,15.006,0.0,41.0,0.0,15.483982618103063
5295,426,12.915,0.0,42.0,0.0,15.151744135588823
10155,892,32.089,35.0,54.0,0.0,12.198109397479302
4893,834,28.024,32.0,57.0,0.0,13.179724167414474
6045,291,8.576,0.0,38.0,0.0,13.465345875228735
6130,47,1.341,0.0,36.0,0.0,6.068570387376795
330,903,31.819,34.0,53.0,0.0,11.47963505609046
4223,752,24.727,30.0,48.0,0.0,14.722133412390074
27185,878,30.903,34.0,51.0,0.0,12.442685056345812
79155,852,29.057,32.0,52.0,0.0,12.903885510235328
1956,939,36.708,38.0,59.0,0.0,10.86889455597343
6194,231,6.764,0.0,40.0,0.0,12.411379711633447
6124,109,3.14,0.0,37.0,0.0,9.01419190253101
6122,164,4.821,0.0,37.0,0.0,10.936936297500118
5347,218,6.368,0.0,39.0,0.0,12.138695313909313
1080,902,32.766,35.0,55.0,0.0,11.940092537740645
10112,865,29.812,33.0,51.0,0.0,12.597434316215004
54443,839,28.764,33.0,49.0,0.0,13.311179192374036
5987,78,2.193,0.0,33.0,0.0,7.5619398261249025
2130,455,13.814,0.0,42.0,0.0,15.266449111318206
3265,887,32.191,35.0,55.0,0.0,12.539847158828005
6137,215,6.29,0.0,41.0,0.0,12.09571023984149
2534,376,11.198,0.0,50.0,0.0,14.559972142445492
8350,363,10.761,0.0,40.0,0.0,14.352835360404677
55011,258,7.681,0.0,46.0,0.0,13.124385261355616
3630,395,11.801,0.0,44.0,0.0,14.743091865608033
51574,778,25.852,31.0,53.0,0.0,14.407139260160626
