Category,Term,Count,P-Value,Benjamini
GOTERM_BP_DIRECT,positive regulation of gene expression,3.0,0.044,0.79
GOTERM_BP_DIRECT,response to mechanical stimulus,2.0,0.044,0.79
KEGG_PATHWAY,Prion disease,3.0,0.047,0.21
GOTERM_BP_DIRECT,epidermal growth factor receptor signaling pathway,2.0,0.048,0.8
GOTERM_BP_DIRECT,protein autoubiquitination,2.0,0.048,0.8
GOTERM_BP_DIRECT,cellular response to type II interferon,2.0,0.053,0.84
GOTERM_BP_DIRECT,cell surface receptor signaling pathway via JAK-STAT,2.0,0.054,0.84
KEGG_PATHWAY,MAPK signaling pathway,3.0,0.055,0.24
GOTERM_BP_DIRECT,immune response,3.0,0.057,0.87
KEGG_PATHWAY,Type II diabetes mellitus,2.0,0.059,0.25
GOTERM_MF_DIRECT,virus receptor activity,2.0,0.06,0.45
GOTERM_BP_DIRECT,cellular response to virus,2.0,0.062,0.9
KEGG_PATHWAY,Malaria,2.0,0.062,0.26
GOTERM_BP_DIRECT,signal transduction,4.0,0.063,0.9
GOTERM_MF_DIRECT,protein phosphatase binding,2.0,0.067,0.47
KEGG_PATHWAY,VEGF signaling pathway,2.0,0.074,0.3
GOTERM_BP_DIRECT,negative regulation of canonical NF-kappaB signal transduction,2.0,0.075,1.0
GOTERM_BP_DIRECT,calcium-mediated signaling,2.0,0.077,1.0
KEGG_PATHWAY,Inflammatory bowel disease,2.0,0.081,0.32
GOTERM_BP_DIRECT,response to ethanol,2.0,0.083,1.0
GOTERM_BP_DIRECT,negative regulation of angiogenesis,2.0,0.087,1.0
KEGG_PATHWAY,Prolactin signaling pathway,2.0,0.087,0.33
KEGG_PATHWAY,RIG-I-like receptor signaling pathway,2.0,0.088,0.33
KEGG_PATHWAY,Non-small cell lung cancer,2.0,0.09,0.33
KEGG_PATHWAY,Glioma,2.0,0.093,0.33
KEGG_PATHWAY,Pancreatic cancer,2.0,0.094,0.33
KEGG_PATHWAY,Chronic myeloid leukemia,2.0,0.094,0.33
GOTERM_BP_DIRECT,MAPK cascade,2.0,0.095,1.0
KEGG_PATHWAY,Pertussis,2.0,0.095,0.33
KEGG_PATHWAY,EGFR tyrosine kinase inhibitor resistance,2.0,0.098,0.33
GOTERM_MF_DIRECT,protein homodimerization activity,3.0,0.099,0.61
GOTERM_BP_DIRECT,cytokine-mediated signaling pathway,2.0,0.099,1.0
