Category,Term,Count,P-Value,Benjamini
KEGG_PATHWAY,ErbB signaling pathway,27.0,2.9e-32,5.6000000000000005e-30
KEGG_PATHWAY,Yersinia infection,30.0,6.3999999999999995e-31,6.199999999999999e-29
GOTERM_MF_DIRECT,protein tyrosine kinase activity,25.0,1.1000000000000001e-30,3.2000000000000003e-28
KEGG_PATHWAY,Fc epsilon RI signaling pathway,23.0,6.6e-28,3.6e-26
KEGG_PATHWAY,T cell receptor signaling pathway,27.0,7.4e-28,3.6e-26
KEGG_PATHWAY,IgSF CAM signaling,34.0,9.7e-26,3.7999999999999995e-24
GOTERM_MF_DIRECT,phosphotyrosine residue binding,17.0,1.5e-25,2.2e-23
GOTERM_BP_DIRECT,intracellular signal transduction,32.0,3.9e-25,5.1e-22
GOTERM_BP_DIRECT,cell surface receptor protein tyrosine kinase signaling pathway,21.0,7.2999999999999995e-25,5.1e-22
GOTERM_BP_DIRECT,T cell receptor signaling pathway,21.0,1.2e-24,5.700000000000001e-22
KEGG_PATHWAY,JAK-STAT signaling pathway,27.0,4.899999999999999e-24,1.6000000000000002e-22
KEGG_PATHWAY,Bacterial invasion of epithelial cells,21.0,3e-23,8.4e-22
KEGG_PATHWAY,Pathways in cancer,39.0,7.1e-23,1.7e-21
GOTERM_CC_DIRECT,plasma membrane,77.0,1.7000000000000002e-22,3.7e-20
GOTERM_MF_DIRECT,non-membrane spanning protein tyrosine kinase activity,15.0,1.6e-21,1.6e-19
KEGG_PATHWAY,EGFR tyrosine kinase inhibitor resistance,20.0,2e-21,4.4e-20
GOTERM_BP_DIRECT,cytokine-mediated signaling pathway,20.0,2.1e-21,7.5e-19
KEGG_PATHWAY,Natural killer cell mediated cytotoxicity,22.0,6e-21,1.2e-19
KEGG_PATHWAY,PI3K-Akt signaling pathway,32.0,8.5e-21,1.5e-19
GOTERM_BP_DIRECT,epidermal growth factor receptor signaling pathway,16.0,1.2e-20,3.5e-18
KEGG_PATHWAY,Focal adhesion,26.0,1.4e-20,2.2e-19
GOTERM_CC_DIRECT,cytosol,74.0,2.1e-20,2.4e-18
KEGG_PATHWAY,Ras signaling pathway,27.0,4.5e-20,6.8e-19
GOTERM_BP_DIRECT,signal transduction,40.0,9.6e-20,2.2e-17
KEGG_PATHWAY,Fc gamma R-mediated phagocytosis,20.0,1.3e-19,1.8e-18
KEGG_PATHWAY,Chronic myeloid leukemia,18.0,1.2e-18,1.6e-17
KEGG_PATHWAY,Phospholipase D signaling pathway,22.0,1.4e-18,1.7e-17
GOTERM_BP_DIRECT,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,20.0,1.5e-18,3e-16
GOTERM_BP_DIRECT,cell surface receptor signaling pathway via JAK-STAT,15.0,4.3e-18,7.5e-16
KEGG_PATHWAY,Proteoglycans in cancer,24.0,4.4e-18,5e-17
GOTERM_MF_DIRECT,protein kinase activity,26.0,8.5e-18,6.1e-16
KEGG_PATHWAY,Osteoclast differentiation,21.0,1e-17,1e-16
KEGG_PATHWAY,"Growth hormone synthesis, secretion and action",20.0,1e-17,1e-16
KEGG_PATHWAY,Chemokine signaling pathway,23.0,2e-17,2e-16
KEGG_PATHWAY,Regulation of actin cytoskeleton,24.0,7.8e-17,7.3e-16
KEGG_PATHWAY,Neurotrophin signaling pathway,19.0,1.6e-16,1.4e-15
KEGG_PATHWAY,PD-L1 expression and PD-1 checkpoint pathway in cancer,17.0,5.3e-16,4.5e-15
GOTERM_CC_DIRECT,cell-cell junction,17.0,6e-15,4.5e-13
KEGG_PATHWAY,Prolactin signaling pathway,15.0,9.1e-15,7.4e-14
GOTERM_BP_DIRECT,B cell receptor signaling pathway,12.0,9.8e-15,1.5e-12
KEGG_PATHWAY,Non-small cell lung cancer,15.0,1.4e-14,1.1e-13
KEGG_PATHWAY,Th1 and Th2 cell differentiation,16.0,2.2e-14,1.7e-13
GOTERM_CC_DIRECT,focal adhesion,21.0,3.3e-14,1.8e-12
KEGG_PATHWAY,Leukocyte transendothelial migration,17.0,3.6e-14,2.6e-13
GOTERM_MF_DIRECT,ATP binding,35.0,5.8e-14,3.3e-12
GOTERM_BP_DIRECT,cell migration,18.0,7.3e-14,1e-11
KEGG_PATHWAY,Shigellosis,22.0,7.9e-14,5.5e-13
KEGG_PATHWAY,Acute myeloid leukemia,14.0,1.3e-13,9e-13
GOTERM_BP_DIRECT,peptidyl-tyrosine phosphorylation,10.0,1.4e-13,1.7e-11
KEGG_PATHWAY,Renal cell carcinoma,14.0,2e-13,1.3e-12
KEGG_PATHWAY,B cell receptor signaling pathway,15.0,3.4e-13,2.2e-12
KEGG_PATHWAY,Rap1 signaling pathway,20.0,3.6e-13,2.2e-12
GOTERM_MF_DIRECT,protein binding,98.0,4.9e-13,2.4e-11
KEGG_PATHWAY,Hematopoietic cell lineage,15.0,1.3e-12,7.7e-12
KEGG_PATHWAY,Pathogenic Escherichia coli infection,19.0,1.5e-12,8.6e-12
GOTERM_BP_DIRECT,positive regulation of leukocyte proliferation,7.0,3.2e-12,3.7e-10
KEGG_PATHWAY,Integrin signaling,17.0,3.2e-12,1.8e-11
KEGG_PATHWAY,Axon guidance,18.0,4.4e-12,2.3e-11
KEGG_PATHWAY,Th17 cell differentiation,15.0,4.4e-12,2.3e-11
GOTERM_CC_DIRECT,membrane raft,15.0,5.3e-12,2.3e-10
KEGG_PATHWAY,Measles,16.0,6.8e-12,3.5e-11
KEGG_PATHWAY,Hepatitis B,17.0,7.8e-12,3.9e-11
KEGG_PATHWAY,Insulin signaling pathway,16.0,8.5e-12,4.1e-11
GOTERM_BP_DIRECT,B cell differentiation,11.0,1.1e-11,1.1e-09
GOTERM_BP_DIRECT,cell surface receptor signaling pathway,18.0,1.3e-11,1.3e-09
KEGG_PATHWAY,Glioma,13.0,1.3e-11,6.4e-11
GOTERM_BP_DIRECT,phosphatidylinositol 3-kinase/protein kinase B signal transduction,11.0,1.5e-11,1.4e-09
KEGG_PATHWAY,AGE-RAGE signaling pathway in diabetic complications,14.0,2.6e-11,1.2e-10
GOTERM_MF_DIRECT,SH2 domain binding,9.0,3.4e-11,1.4e-09
GOTERM_MF_DIRECT,protein kinase binding,19.0,4.5e-11,1.6e-09
GOTERM_MF_DIRECT,receptor tyrosine kinase binding,10.0,5.1e-11,1.6e-09
GOTERM_CC_DIRECT,cytoplasm,66.0,1.1e-10,4.2e-09
GOTERM_BP_DIRECT,cellular response to epidermal growth factor stimulus,9.0,1.3e-10,1.2e-08
GOTERM_CC_DIRECT,cytoskeleton,23.0,1.5e-10,4.7e-09
GOTERM_BP_DIRECT,interleukin-5-mediated signaling pathway,6.0,1.7e-10,1.3e-08
GOTERM_BP_DIRECT,T cell activation,10.0,1.8e-10,1.3e-08
GOTERM_BP_DIRECT,ephrin receptor signaling pathway,9.0,1.9e-10,1.3e-08
GOTERM_BP_DIRECT,positive regulation of cell population proliferation,19.0,1.9e-10,1.3e-08
GOTERM_MF_DIRECT,transmembrane receptor protein tyrosine kinase activity,9.0,2.8e-10,8.1e-09
KEGG_PATHWAY,Choline metabolism in cancer,13.0,3.3e-10,1.5e-09
KEGG_PATHWAY,Endocrine resistance,13.0,3.3e-10,1.5e-09
GOTERM_BP_DIRECT,leukocyte migration,8.0,3.5e-10,2.3e-08
GOTERM_BP_DIRECT,activated T cell proliferation,6.0,3.9e-10,2.5e-08
KEGG_PATHWAY,VEGF signaling pathway,11.0,4.3e-10,1.9e-09
GOTERM_CC_DIRECT,signaling receptor complex,13.0,6.4e-10,1.8e-08
GOTERM_MF_DIRECT,kinase activity,14.0,1.1e-09,2.8e-08
KEGG_PATHWAY,MAPK signaling pathway,19.0,1.3e-09,5.4e-09
GOTERM_MF_DIRECT,phospholipase binding,7.0,1.4e-09,3.1e-08
GOTERM_MF_DIRECT,protein phosphatase binding,10.0,1.4e-09,3.1e-08
KEGG_PATHWAY,Hepatocellular carcinoma,15.0,1.8e-09,7.6e-09
GOTERM_BP_DIRECT,Fc-epsilon receptor signaling pathway,7.0,1.9e-09,1.2e-07
KEGG_PATHWAY,Epstein-Barr virus infection,16.0,2.4e-09,9.6e-09
KEGG_PATHWAY,Central carbon metabolism in cancer,11.0,2.4e-09,9.6e-09
GOTERM_BP_DIRECT,T cell costimulation,8.0,2.4e-09,1.4e-07
GOTERM_MF_DIRECT,protein tyrosine kinase binding,8.0,2.7e-09,5.5e-08
GOTERM_BP_DIRECT,positive regulation of cell adhesion,9.0,3.6e-09,2e-07
KEGG_PATHWAY,Human immunodeficiency virus 1 infection,16.0,4.3e-09,1.7e-08
KEGG_PATHWAY,Endocytosis,17.0,4.7e-09,1.8e-08
GOTERM_BP_DIRECT,immune response,18.0,5.3e-09,2.8e-07
KEGG_PATHWAY,Platelet activation,13.0,5.6e-09,2.1e-08
GOTERM_MF_DIRECT,ephrin receptor binding,7.0,6.3e-09,1.2e-07
KEGG_PATHWAY,Endometrial cancer,10.0,7.6e-09,2.8e-08
KEGG_PATHWAY,Relaxin signaling pathway,13.0,7.9e-09,2.9e-08
GOTERM_BP_DIRECT,integrin-mediated signaling pathway,10.0,9.3e-09,4.8e-07
GOTERM_MF_DIRECT,SH3 domain binding,10.0,9.3e-09,1.7e-07
KEGG_PATHWAY,Human cytomegalovirus infection,16.0,9.7e-09,3.4e-08
GOTERM_BP_DIRECT,erythropoietin-mediated signaling pathway,5.0,2.2e-08,1.1e-06
GOTERM_MF_DIRECT,enzyme binding,15.0,2.3e-08,4e-07
KEGG_PATHWAY,MicroRNAs in cancer,18.0,2.8e-08,9.6e-08
GOTERM_BP_DIRECT,regulation of cell shape,10.0,3.2e-08,1.6e-06
KEGG_PATHWAY,Adherens junction,11.0,3.5e-08,1.2e-07
GOTERM_BP_DIRECT,regulation of cell population proliferation,11.0,3.5e-08,1.6e-06
GOTERM_MF_DIRECT,signaling adaptor activity,9.0,3.5e-08,5.7e-07
GOTERM_CC_DIRECT,phosphatidylinositol 3-kinase complex,5.0,3.7e-08,9.1e-07
GOTERM_BP_DIRECT,actin cytoskeleton organization,12.0,3.9e-08,1.7e-06
KEGG_PATHWAY,Gastric cancer,13.0,4e-08,1.3e-07
GOTERM_BP_DIRECT,interleukin-2-mediated signaling pathway,5.0,4.4e-08,1.9e-06
GOTERM_BP_DIRECT,enzyme-linked receptor protein signaling pathway,6.0,6e-08,2.5e-06
GOTERM_BP_DIRECT,positive regulation of T cell proliferation,8.0,6.1e-08,2.5e-06
KEGG_PATHWAY,Human T-cell leukemia virus 1 infection,15.0,6.4e-08,2.1e-07
GOTERM_CC_DIRECT,"phosphatidylinositol 3-kinase complex, class IA",5.0,6.6e-08,1.5e-06
KEGG_PATHWAY,Chemical carcinogenesis - reactive oxygen species,15.0,7.5e-08,2.4e-07
KEGG_PATHWAY,Pancreatic cancer,10.0,8.4e-08,2.7e-07
GOTERM_BP_DIRECT,protein autophosphorylation,9.0,9.3e-08,3.7e-06
KEGG_PATHWAY,Kaposi sarcoma-associated herpesvirus infection,14.0,9.8e-08,3.1e-07
