Category,Term,Count,P-Value,Benjamini
GOTERM_BP_DIRECT,Fc-gamma receptor signaling pathway involved in phagocytosis,6.0,9.8e-08,3.8e-06
GOTERM_BP_DIRECT,negative regulation of apoptotic process,16.0,1e-07,4e-06
KEGG_PATHWAY,C-type lectin receptor signaling pathway,11.0,1.1e-07,3.5e-07
GOTERM_BP_DIRECT,T cell differentiation,7.0,1.2e-07,4.5e-06
KEGG_PATHWAY,Prostate cancer,11.0,1.2e-07,3.8e-07
KEGG_PATHWAY,Estrogen signaling pathway,12.0,1.7e-07,5.1e-07
GOTERM_MF_DIRECT,phospholipase activator activity,5.0,2e-07,3e-06
GOTERM_BP_DIRECT,growth hormone receptor signaling pathway via JAK-STAT,5.0,2.1e-07,7.4e-06
GOTERM_BP_DIRECT,positive regulation of Rac protein signal transduction,6.0,2.3e-07,8.1e-06
GOTERM_BP_DIRECT,positive regulation of MAPK cascade,11.0,2.5e-07,8.5e-06
KEGG_PATHWAY,Lipid and atherosclerosis,14.0,3e-07,9e-07
GOTERM_BP_DIRECT,ERBB signaling pathway,5.0,3.1e-07,1e-05
GOTERM_BP_DIRECT,positive regulation of cell migration,12.0,3.2e-07,1.1e-05
KEGG_PATHWAY,Breast cancer,12.0,3.2e-07,9.5e-07
GOTERM_CC_DIRECT,actin cytoskeleton,12.0,3.8e-07,7.8e-06
GOTERM_MF_DIRECT,insulin receptor substrate binding,5.0,4.3e-07,6.2e-06
KEGG_PATHWAY,Thyroid hormone signaling pathway,11.0,4.7e-07,1.3e-06
GOTERM_MF_DIRECT,actin binding,13.0,5e-07,6.9e-06
KEGG_PATHWAY,Hepatitis C,12.0,5.5e-07,1.6e-06
GOTERM_CC_DIRECT,lamellipodium,10.0,5.6e-07,1e-05
KEGG_PATHWAY,Sphingolipid signaling pathway,11.0,5.8e-07,1.6e-06
GOTERM_CC_DIRECT,perinuclear region of cytoplasm,17.0,6.3e-07,1.1e-05
GOTERM_MF_DIRECT,signaling receptor complex adaptor activity,6.0,6.4e-07,8.4e-06
GOTERM_BP_DIRECT,regulation of cell adhesion,7.0,9e-07,2.8e-05
GOTERM_BP_DIRECT,actin filament polymerization,6.0,9.1e-07,2.8e-05
KEGG_PATHWAY,Coronavirus disease - COVID-19,14.0,9.2e-07,2.5e-06
GOTERM_BP_DIRECT,platelet activation,7.0,1.1e-06,3.3e-05
KEGG_PATHWAY,Viral carcinogenesis,13.0,1.2e-06,3.3e-06
GOTERM_BP_DIRECT,positive regulation of ERK1 and ERK2 cascade,10.0,1.3e-06,3.9e-05
KEGG_PATHWAY,Tight junction,12.0,1.3e-06,3.5e-06
GOTERM_MF_DIRECT,protein tyrosine kinase activator activity,5.0,1.4e-06,1.8e-05
GOTERM_BP_DIRECT,cellular response to transforming growth factor beta stimulus,7.0,1.5e-06,4.5e-05
KEGG_PATHWAY,Toll-like receptor signaling pathway,10.0,1.7e-06,4.5e-06
GOTERM_BP_DIRECT,regulation of developmental process,6.0,2e-06,5.8e-05
GOTERM_BP_DIRECT,insulin receptor signaling pathway,7.0,2.1e-06,6e-05
KEGG_PATHWAY,Chemical carcinogenesis - receptor activation,13.0,2.2e-06,5.7e-06
KEGG_PATHWAY,Herpes simplex virus 1 infection,12.0,2.3e-06,5.9e-06
GOTERM_BP_DIRECT,negative regulation of T cell receptor signaling pathway,6.0,2.6e-06,7.1e-05
KEGG_PATHWAY,Colorectal cancer,9.0,2.9e-06,7.4e-06
GOTERM_BP_DIRECT,Ras protein signal transduction,7.0,3.1e-06,8.5e-05
GOTERM_BP_DIRECT,positive regulation of receptor signaling pathway via JAK-STAT,6.0,4.1e-06,0.00011
GOTERM_CC_DIRECT,external side of plasma membrane,12.0,4.1e-06,6.6e-05
GOTERM_BP_DIRECT,mast cell proliferation,4.0,4.5e-06,0.00011
GOTERM_BP_DIRECT,positive regulation of mast cell proliferation,4.0,4.5e-06,0.00011
GOTERM_BP_DIRECT,interleukin-3-mediated signaling pathway,4.0,4.5e-06,0.00011
GOTERM_BP_DIRECT,protein phosphorylation,10.0,4.6e-06,0.00011
GOTERM_BP_DIRECT,stimulatory C-type lectin receptor signaling pathway,5.0,5.3e-06,0.00013
GOTERM_BP_DIRECT,phosphatidylinositol-mediated signaling,5.0,6.3e-06,0.00015
GOTERM_BP_DIRECT,signal complex assembly,4.0,7.1e-06,0.00017
GOTERM_MF_DIRECT,cytokine receptor activity,6.0,7.2e-06,8.6e-05
KEGG_PATHWAY,Phosphatidylinositol signaling system,9.0,7.2e-06,1.8e-05
GOTERM_BP_DIRECT,Arp2/3 complex-mediated actin nucleation,5.0,7.5e-06,0.00017
KEGG_PATHWAY,Human papillomavirus infection,15.0,7.5e-06,1.9e-05
KEGG_PATHWAY,Epithelial cell signaling in Helicobacter pylori infection,8.0,7.9e-06,1.9e-05
GOTERM_CC_DIRECT,glutamatergic synapse,14.0,9.4e-06,0.00014
KEGG_PATHWAY,Melanoma,8.0,9.5e-06,2.3e-05
GOTERM_BP_DIRECT,adaptive immune response,13.0,9.8e-06,0.00022
KEGG_PATHWAY,Amoebiasis,9.0,1e-05,2.4e-05
KEGG_PATHWAY,Chagas disease,9.0,1e-05,2.4e-05
GOTERM_CC_DIRECT,actin filament,7.0,1.1e-05,0.00016
KEGG_PATHWAY,NF-kappa B signaling pathway,9.0,1.2e-05,2.8e-05
GOTERM_MF_DIRECT,identical protein binding,25.0,1.3e-05,0.00015
GOTERM_BP_DIRECT,mast cell degranulation,5.0,1.4e-05,0.00031
KEGG_PATHWAY,Fluid shear stress and atherosclerosis,10.0,1.5e-05,3.4e-05
GOTERM_BP_DIRECT,cellular response to platelet-derived growth factor stimulus,5.0,1.6e-05,0.00035
KEGG_PATHWAY,HIF-1 signaling pathway,9.0,1.7e-05,3.8e-05
GOTERM_CC_DIRECT,Arp2/3 protein complex,4.0,1.8e-05,0.00024
GOTERM_BP_DIRECT,vascular endothelial growth factor receptor signaling pathway,5.0,1.8e-05,0.00039
GOTERM_BP_DIRECT,positive regulation of tyrosine phosphorylation of STAT protein,5.0,1.8e-05,0.00039
GOTERM_BP_DIRECT,insulin-like growth factor receptor signaling pathway,5.0,2.3e-05,0.00049
GOTERM_BP_DIRECT,negative regulation of T cell activation,5.0,2.6e-05,0.00054
GOTERM_BP_DIRECT,reelin-mediated signaling pathway,4.0,2.8e-05,0.00056
GOTERM_CC_DIRECT,basal plasma membrane,6.0,3.1e-05,0.00038
GOTERM_BP_DIRECT,positive regulation of mitotic cell cycle,5.0,3.3e-05,0.00067
GOTERM_MF_DIRECT,cadherin binding,10.0,3.6e-05,0.0004
KEGG_PATHWAY,Aldosterone-regulated sodium reabsorption,6.0,4.1e-05,9.2e-05
GOTERM_MF_DIRECT,growth factor binding,5.0,4.5e-05,0.00048
GOTERM_BP_DIRECT,type II interferon-mediated signaling pathway,4.0,4.5e-05,0.00089
GOTERM_BP_DIRECT,regulation of multicellular organismal process,5.0,4.6e-05,0.00089
KEGG_PATHWAY,Salmonella infection,12.0,4.7e-05,0.00011
GOTERM_CC_DIRECT,extrinsic component of cytoplasmic side of plasma membrane,4.0,4.9e-05,0.00058
GOTERM_BP_DIRECT,growth hormone receptor signaling pathway,4.0,5.6e-05,0.0011
GOTERM_BP_DIRECT,positive regulation of transcription by RNA polymerase II,19.0,5.9e-05,0.0011
GOTERM_CC_DIRECT,cytoplasmic side of plasma membrane,7.0,6.1e-05,0.00069
GOTERM_BP_DIRECT,natural killer cell mediated cytotoxicity,5.0,6.2e-05,0.0012
KEGG_PATHWAY,FoxO signaling pathway,9.0,6.7e-05,0.00015
GOTERM_BP_DIRECT,positive regulation of natural killer cell proliferation,4.0,6.9e-05,0.0012
GOTERM_BP_DIRECT,positive regulation of B cell differentiation,4.0,6.9e-05,0.0012
GOTERM_BP_DIRECT,Schwann cell development,4.0,6.9e-05,0.0012
KEGG_PATHWAY,Inflammatory mediator regulation of TRP channels,8.0,7e-05,0.00015
KEGG_PATHWAY,Influenza A,10.0,7.2e-05,0.00015
GOTERM_CC_DIRECT,postsynaptic density,9.0,8.2e-05,0.00087
KEGG_PATHWAY,Apoptosis,9.0,8.2e-05,0.00017
GOTERM_MF_DIRECT,cytokine binding,5.0,8.6e-05,0.00089
GOTERM_BP_DIRECT,angiogenesis,9.0,9e-05,0.0016
GOTERM_BP_DIRECT,positive regulation of intracellular signal transduction,5.0,9.7e-05,0.0017
GOTERM_MF_DIRECT,transmembrane receptor protein tyrosine kinase adaptor activity,4.0,9.8e-05,0.00097
GOTERM_BP_DIRECT,regulation of stress fiber assembly,4.0,0.0001,0.0017
GOTERM_MF_DIRECT,actin filament binding,8.0,0.00011,0.0011
GOTERM_MF_DIRECT,phosphatidylinositol 3-kinase binding,4.0,0.00012,0.0011
KEGG_PATHWAY,Type II diabetes mellitus,6.0,0.00012,0.00024
KEGG_PATHWAY,Platinum drug resistance,7.0,0.00012,0.00025
GOTERM_BP_DIRECT,cell chemotaxis,6.0,0.00012,0.002
GOTERM_BP_DIRECT,protein-containing complex assembly,7.0,0.00012,0.002
GOTERM_BP_DIRECT,positive regulation of interleukin-2 production,5.0,0.00012,0.0021
GOTERM_BP_DIRECT,osteoclast differentiation,5.0,0.00013,0.0022
GOTERM_BP_DIRECT,negative regulation of natural killer cell mediated cytotoxicity,4.0,0.00014,0.0022
GOTERM_BP_DIRECT,vascular endothelial growth factor signaling pathway,4.0,0.00014,0.0022
GOTERM_BP_DIRECT,regulation of cell-cell adhesion,4.0,0.00014,0.0022
GOTERM_CC_DIRECT,immunological synapse,5.0,0.00014,0.0013
GOTERM_CC_DIRECT,granulocyte macrophage colony-stimulating factor receptor complex,3.0,0.00014,0.0013
GOTERM_CC_DIRECT,ruffle membrane,6.0,0.00014,0.0013
KEGG_PATHWAY,Inositol phosphate metabolism,7.0,0.00015,0.0003
GOTERM_BP_DIRECT,mast cell migration,3.0,0.00015,0.0024
GOTERM_BP_DIRECT,mast cell differentiation,3.0,0.00015,0.0024
GOTERM_BP_DIRECT,granulocyte-macrophage colony-stimulating factor signaling pathway,3.0,0.00015,0.0024
KEGG_PATHWAY,Neutrophil extracellular trap formation,10.0,0.00018,0.00036
GOTERM_CC_DIRECT,site of double-strand break,6.0,0.00018,0.0016
GOTERM_BP_DIRECT,substrate adhesion-dependent cell spreading,5.0,0.00018,0.0027
GOTERM_CC_DIRECT,ruffle,6.0,0.0002,0.0017
GOTERM_CC_DIRECT,cell surface,13.0,0.00021,0.0017
GOTERM_BP_DIRECT,actin polymerization or depolymerization,4.0,0.00021,0.0032
GOTERM_BP_DIRECT,regulation of actin cytoskeleton organization,6.0,0.00022,0.0033
KEGG_PATHWAY,TNF signaling pathway,8.0,0.00022,0.00045
GOTERM_BP_DIRECT,positive regulation of gene expression,11.0,0.00024,0.0035
GOTERM_BP_DIRECT,tumor necrosis factor-mediated signaling pathway,5.0,0.00025,0.0037
KEGG_PATHWAY,Cadherin signaling,14.0,0.00025,0.0005
GOTERM_MF_DIRECT,ErbB-3 class receptor binding,3.0,0.00025,0.0023
GOTERM_BP_DIRECT,positive regulation of protein kinase activity,4.0,0.00031,0.0045
GOTERM_BP_DIRECT,calcium-mediated signaling,6.0,0.00034,0.0048
GOTERM_MF_DIRECT,neurotrophin TRKA receptor binding,3.0,0.00038,0.0033
GOTERM_CC_DIRECT,cell cortex,7.0,0.00038,0.003
GOTERM_BP_DIRECT,positive regulation of endothelial cell migration,5.0,0.00038,0.0053
GOTERM_BP_DIRECT,cell surface receptor signaling pathway via STAT,4.0,0.00039,0.0053
GOTERM_BP_DIRECT,positive regulation of activated T cell proliferation,4.0,0.00039,0.0053
GOTERM_BP_DIRECT,negative regulation of epidermal growth factor receptor signaling pathway,4.0,0.00039,0.0053
GOTERM_CC_DIRECT,extracellular exosome,24.0,0.00039,0.003
KEGG_PATHWAY,Small cell lung cancer,7.0,0.00039,0.00076
KEGG_PATHWAY,Hormone signaling,10.0,0.00042,0.00082
GOTERM_BP_DIRECT,bone resorption,4.0,0.00043,0.0058
GOTERM_BP_DIRECT,positive regulation of lamellipodium assembly,4.0,0.00048,0.0063
GOTERM_BP_DIRECT,negative regulation of inflammatory response to antigenic stimulus,4.0,0.00048,0.0063
GOTERM_BP_DIRECT,neuron migration,6.0,0.00049,0.0065
GOTERM_BP_DIRECT,cellular response to growth factor stimulus,5.0,0.00051,0.0066
GOTERM_MF_DIRECT,"1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity",3.0,0.00053,0.0043
GOTERM_MF_DIRECT,1-phosphatidylinositol-4-phosphate 3-kinase activity,3.0,0.00053,0.0043
GOTERM_BP_DIRECT,positive regulation of tumor necrosis factor production,6.0,0.00054,0.0071
GOTERM_BP_DIRECT,positive regulation of release of sequestered calcium ion into cytosol,4.0,0.00058,0.0074
GOTERM_CC_DIRECT,protein-containing complex,13.0,0.00061,0.0045
KEGG_PATHWAY,Primary immunodeficiency,5.0,0.00061,0.0012
GOTERM_BP_DIRECT,inflammatory response,10.0,0.00064,0.0081
GOTERM_BP_DIRECT,platelet-derived growth factor receptor signaling pathway,4.0,0.00069,0.0086
GOTERM_CC_DIRECT,cell projection,6.0,0.0007,0.005
KEGG_PATHWAY,Signaling pathways regulating pluripotency of stem cells,8.0,0.00071,0.0014
GOTERM_BP_DIRECT,positive regulation of leukocyte differentiation,3.0,0.00071,0.0086
GOTERM_BP_DIRECT,antigen receptor-mediated signaling pathway,3.0,0.00071,0.0086
GOTERM_BP_DIRECT,interleukin-7-mediated signaling pathway,3.0,0.00071,0.0086
GOTERM_BP_DIRECT,gamma-delta T cell differentiation,3.0,0.00071,0.0086
GOTERM_BP_DIRECT,interleukin-9-mediated signaling pathway,3.0,0.00071,0.0086
GOTERM_CC_DIRECT,COP9 signalosome,4.0,0.00071,0.005
GOTERM_BP_DIRECT,cellular response to type II interferon,5.0,0.00075,0.009
GOTERM_MF_DIRECT,transmembrane signaling receptor activity,8.0,0.00079,0.0062
GOTERM_MF_DIRECT,epidermal growth factor receptor binding,4.0,0.0008,0.0062
GOTERM_BP_DIRECT,chemotaxis,6.0,0.00084,0.0099
GOTERM_BP_DIRECT,lamellipodium assembly,4.0,0.00089,0.01
GOTERM_MF_DIRECT,signaling receptor activator activity,3.0,0.0009,0.0068
KEGG_PATHWAY,Insulin resistance,7.0,0.0009,0.0017
GOTERM_BP_DIRECT,positive regulation of podosome assembly,3.0,0.00091,0.011
GOTERM_BP_DIRECT,positive regulation of gamma-delta T cell differentiation,3.0,0.00091,0.011
KEGG_PATHWAY,Cytokine-cytokine receptor interaction,11.0,0.00099,0.0019
GOTERM_MF_DIRECT,integrin binding,6.0,0.001,0.0076
GOTERM_BP_DIRECT,positive regulation of epithelial cell migration,4.0,0.001,0.012
GOTERM_BP_DIRECT,positive regulation of erythrocyte differentiation,4.0,0.001,0.012
KEGG_PATHWAY,Toxoplasmosis,7.0,0.001,0.0019
GOTERM_MF_DIRECT,protein-macromolecule adaptor activity,8.0,0.0011,0.0078
GOTERM_MF_DIRECT,1-phosphatidylinositol-3-kinase activity,3.0,0.0011,0.0078
GOTERM_BP_DIRECT,interleukin-15-mediated signaling pathway,3.0,0.0011,0.013
GOTERM_BP_DIRECT,cell adhesion,11.0,0.0011,0.013
KEGG_PATHWAY,Cholinergic synapse,7.0,0.0012,0.0022
KEGG_PATHWAY,mTOR signaling pathway,8.0,0.0012,0.0022
GOTERM_CC_DIRECT,neuromuscular junction,5.0,0.0013,0.0085
GOTERM_BP_DIRECT,lactation,4.0,0.0013,0.014
GOTERM_BP_DIRECT,positive regulation of protein localization to nucleus,4.0,0.0013,0.014
GOTERM_BP_DIRECT,positive regulation of type II interferon production,5.0,0.0013,0.014
GOTERM_MF_DIRECT,peptide hormone receptor binding,3.0,0.0014,0.0091
GOTERM_MF_DIRECT,growth hormone receptor binding,3.0,0.0014,0.0091
GOTERM_BP_DIRECT,cellular response to virus,5.0,0.0014,0.014
GOTERM_BP_DIRECT,regulation of MAPK cascade,4.0,0.0014,0.014
GOTERM_BP_DIRECT,B cell activation,4.0,0.0014,0.014
GOTERM_BP_DIRECT,phosphatidylinositol phosphate biosynthetic process,4.0,0.0014,0.014
GOTERM_BP_DIRECT,gamma-delta T cell activation,3.0,0.0014,0.014
GOTERM_BP_DIRECT,actin filament organization,6.0,0.0014,0.014
GOTERM_BP_DIRECT,cell development,4.0,0.0015,0.015
KEGG_PATHWAY,Carbohydrate digestion and absorption,5.0,0.0015,0.0027
GOTERM_MF_DIRECT,signaling receptor binding,9.0,0.0015,0.01
KEGG_PATHWAY,AMPK signaling pathway,7.0,0.0016,0.0029
GOTERM_MF_DIRECT,T cell receptor binding,3.0,0.0016,0.01
