Category,Term,Count,P-Value,Benjamini
KEGG_PATHWAY,Colorectal cancer,4.0,0.021,0.12
KEGG_PATHWAY,Non-alcoholic fatty liver disease,5.0,0.021,0.12
GOTERM_BP_DIRECT,cellular response to stress,3.0,0.022,0.65
KEGG_PATHWAY,Hepatitis B,5.0,0.024,0.13
GOTERM_MF_DIRECT,ATP binding,15.0,0.024,0.59
KEGG_PATHWAY,Small cell lung cancer,4.0,0.024,0.13
GOTERM_MF_DIRECT,transcription regulator inhibitor activity,3.0,0.025,0.59
GOTERM_BP_DIRECT,platelet aggregation,3.0,0.025,0.71
GOTERM_MF_DIRECT,hypoxia-inducible factor-proline dioxygenase activity,2.0,0.025,0.59
KEGG_PATHWAY,IL-17 signaling pathway,4.0,0.025,0.13
KEGG_PATHWAY,Salmonella infection,6.0,0.025,0.13
GOTERM_BP_DIRECT,T cell receptor signaling pathway,4.0,0.027,0.75
GOTERM_CC_DIRECT,chromatin,12.0,0.027,0.8
GOTERM_BP_DIRECT,negative regulation of insulin receptor signaling pathway,3.0,0.028,0.75
GOTERM_CC_DIRECT,Z disc,4.0,0.029,0.8
KEGG_PATHWAY,Choline metabolism in cancer,4.0,0.029,0.14
KEGG_PATHWAY,Protein processing in endoplasmic reticulum,5.0,0.029,0.14
GOTERM_MF_DIRECT,cytoskeleton-nuclear membrane anchor activity,2.0,0.03,0.59
GOTERM_BP_DIRECT,protein sumoylation,3.0,0.03,0.79
GOTERM_MF_DIRECT,protein domain specific binding,5.0,0.031,0.59
GOTERM_BP_DIRECT,canonical NF-kappaB signal transduction,3.0,0.031,0.79
KEGG_PATHWAY,Chagas disease,4.0,0.032,0.15
GOTERM_MF_DIRECT,histone deacetylase binding,4.0,0.032,0.59
GOTERM_MF_DIRECT,double-stranded DNA binding,4.0,0.033,0.59
KEGG_PATHWAY,Mitophagy - animal,4.0,0.033,0.15
KEGG_PATHWAY,Parkinson disease,6.0,0.034,0.15
GOTERM_BP_DIRECT,cellular response to amino acid starvation,3.0,0.034,0.82
GOTERM_BP_DIRECT,response to iron(II) ion,2.0,0.035,0.82
GOTERM_BP_DIRECT,glandular epithelial cell maturation,2.0,0.035,0.82
GOTERM_BP_DIRECT,proteasome-mediated ubiquitin-dependent protein catabolic process,6.0,0.036,0.82
GOTERM_BP_DIRECT,regulation of macroautophagy,3.0,0.037,0.83
KEGG_PATHWAY,Th17 cell differentiation,4.0,0.037,0.15
KEGG_PATHWAY,Insulin resistance,4.0,0.037,0.15
KEGG_PATHWAY,Toll-like receptor signaling pathway,4.0,0.037,0.15
GOTERM_BP_DIRECT,tumor necrosis factor-mediated signaling pathway,3.0,0.038,0.84
KEGG_PATHWAY,Type II diabetes mellitus,3.0,0.04,0.16
GOTERM_CC_DIRECT,axon cytoplasm,3.0,0.041,0.96
KEGG_PATHWAY,Pathways of neurodegeneration - multiple diseases,8.0,0.041,0.16
GOTERM_BP_DIRECT,regulation of cell cycle,5.0,0.042,0.91
GOTERM_BP_DIRECT,cellular response to nutrient,2.0,0.045,0.94
GOTERM_BP_DIRECT,protein desumoylation,2.0,0.045,0.94
KEGG_PATHWAY,Pathogenic Escherichia coli infection,5.0,0.045,0.17
KEGG_PATHWAY,Alzheimer disease,7.0,0.045,0.17
GOTERM_MF_DIRECT,sequence-specific DNA binding,7.0,0.047,0.75
KEGG_PATHWAY,Proteoglycans in cancer,5.0,0.048,0.18
KEGG_PATHWAY,AMPK signaling pathway,4.0,0.049,0.18
GOTERM_MF_DIRECT,kinase activity,5.0,0.049,0.75
GOTERM_BP_DIRECT,negative regulation of transcription by RNA polymerase II,11.0,0.05,0.96
GOTERM_BP_DIRECT,regulation of apoptotic signaling pathway,2.0,0.05,0.96
GOTERM_BP_DIRECT,intracellular oxygen homeostasis,2.0,0.05,0.96
GOTERM_BP_DIRECT,CD40 signaling pathway,2.0,0.05,0.96
GOTERM_CC_DIRECT,CD40 receptor complex,2.0,0.051,0.96
GOTERM_CC_DIRECT,meiotic nuclear membrane microtubule tethering complex,2.0,0.051,0.96
GOTERM_MF_DIRECT,p53 binding,3.0,0.052,0.75
GOTERM_MF_DIRECT,ubiquitin protein ligase activity,6.0,0.052,0.75
GOTERM_CC_DIRECT,"chromosome, telomeric region",4.0,0.054,0.96
GOTERM_BP_DIRECT,"protein localization to chromosome, telomeric region",2.0,0.055,1.0
GOTERM_BP_DIRECT,autophagosome assembly,3.0,0.055,1.0
GOTERM_CC_DIRECT,cytoskeleton,9.0,0.056,0.96
GOTERM_MF_DIRECT,microtubule binding,5.0,0.056,0.75
KEGG_PATHWAY,Chemical carcinogenesis - receptor activation,5.0,0.058,0.21
GOTERM_BP_DIRECT,regulation of autophagy,3.0,0.059,1.0
GOTERM_MF_DIRECT,MDM2/MDM4 family protein binding,2.0,0.059,0.75
GOTERM_BP_DIRECT,cellular response to nitrogen starvation,2.0,0.06,1.0
KEGG_PATHWAY,FoxO signaling pathway,4.0,0.06,0.21
GOTERM_CC_DIRECT,pore complex,2.0,0.06,0.97
GOTERM_MF_DIRECT,enzyme binding,6.0,0.061,0.75
GOTERM_BP_DIRECT,response to nutrient levels,3.0,0.062,1.0
GOTERM_MF_DIRECT,cis-regulatory region sequence-specific DNA binding,3.0,0.062,0.75
KEGG_PATHWAY,Apoptosis,4.0,0.064,0.22
GOTERM_BP_DIRECT,positive regulation of cell migration,5.0,0.065,1.0
KEGG_PATHWAY,Yersinia infection,4.0,0.065,0.22
KEGG_PATHWAY,Apelin signaling pathway,4.0,0.068,0.23
GOTERM_BP_DIRECT,positive regulation of translation,3.0,0.069,1.0
GOTERM_BP_DIRECT,phosphatidylinositol 3-kinase/protein kinase B signal transduction,3.0,0.069,1.0
GOTERM_BP_DIRECT,positive regulation of leukocyte adhesion to vascular endothelial cell,2.0,0.069,1.0
KEGG_PATHWAY,Osteoclast differentiation,4.0,0.07,0.23
KEGG_PATHWAY,Fluid shear stress and atherosclerosis,4.0,0.07,0.23
GOTERM_CC_DIRECT,midbody,4.0,0.07,1.0
KEGG_PATHWAY,Alcoholic liver disease,4.0,0.072,0.23
KEGG_PATHWAY,Spinocerebellar ataxia,4.0,0.072,0.23
