dim,n_train,cv_accuracy,cv_accuracy_std,cv_precision,cv_recall,cv_f1,cv_f1_std,cv_roc_auc,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc
8,1730,0.9688,0.0090,0.9904,0.9468,0.9680,0.0095,0.9911,0.9798,1.0000,0.9595,0.9794,0.9907
16,1730,0.9711,0.0075,0.9928,0.9491,0.9704,0.0079,0.9907,0.9566,0.9759,0.9364,0.9558,0.9863
32,1730,0.9740,0.0078,0.9964,0.9514,0.9733,0.0082,0.9946,0.9595,0.9938,0.9249,0.9581,0.9926
64,1730,0.9688,0.0087,1.0000,0.9376,0.9677,0.0093,0.9927,0.9566,1.0000,0.9133,0.9547,0.9905
128,1730,0.9572,0.0094,0.9987,0.9156,0.9553,0.0102,0.9918,0.9451,1.0000,0.8902,0.9419,0.9941
256,1730,0.9283,0.0132,1.0000,0.8566,0.9226,0.0151,0.9894,0.8988,1.0000,0.7977,0.8875,0.9803
512,1730,0.9104,0.0088,1.0000,0.8208,0.9015,0.0106,0.9787,0.8873,1.0000,0.7746,0.8730,0.9729
