gene_id,training_class,disease_probability
10148,-1,0.9974383873738141
4148,-1,0.997352783821559
1671,-1,0.997352783821559
3949,1,0.997293391640189
3696,-1,0.9972916962555227
5167,-1,0.9972903790046268
10085,-1,0.9972792761908071
152002,-1,0.9972792013886007
23315,-1,0.9972774943993512
199731,-1,0.9972688395743042
10956,-1,0.9972599844242788
6422,-1,0.9972364273842662
6868,1,0.9972310299994946
79671,-1,0.9972285752277769
124460,-1,0.9972193414471063
6548,-1,0.9972151516371218
9741,-1,0.9972151516371218
64146,-1,0.997214929380015
84063,-1,0.997214929380015
112724,-1,0.997214929380015
498,-1,0.9972075316334578
170689,-1,0.9972071479326565
8745,-1,0.9971880129562547
389400,-1,0.9971871350499595
9540,-1,0.997184069595626
182,-1,0.9971793971480712
2044,-1,0.9971785357869244
84899,-1,0.9971785357869244
64386,-1,0.9971775861340263
1955,-1,0.9971775861340263
112744,-1,0.9971758297248645
1358,-1,0.9971758297248645
90070,-1,0.9971758297248645
11167,-1,0.9971725719739069
1798,-1,0.9971650356292197
84236,1,0.9971650356292197
4035,-1,0.9971646442571759
22918,1,0.9971646442571759
3381,-1,0.9971642642495814
390667,-1,0.9971640704238075
1363,-1,0.9971626105193859
56144,-1,0.9971520067836619
80174,-1,0.9971481134957563
85007,-1,0.9971481134957563
3268,-1,0.9971481134957563
3689,1,0.9971472617291512
114792,-1,0.9971389780501021
57650,-1,0.9971363371353826
147929,-1,0.9971289585682285
9211,-1,0.9971187236824199
51061,-1,0.9971187236824199
338872,-1,0.9971174575461057
5008,-1,0.9971105351392672
4012,-1,0.9971084912557086
3082,-1,0.9971065472480312
354,-1,0.997104018771459
139212,-1,0.9971037836990932
339965,-1,0.9971037836990932
7551,-1,0.9971037836990932
30820,-1,0.9971019658312965
8829,-1,0.9970961200299331
126433,1,0.9970960756582594
125150,-1,0.9970952375699866
145264,-1,0.9970938121366116
8614,1,0.9970910703489076
3912,-1,0.9970903507575856
1440,-1,0.9970903068192876
55214,-1,0.9970902773389149
51478,-1,0.9970863751562448
1807,-1,0.997086114088617
5265,-1,0.9970853089297991
23001,-1,0.9970830528486078
123872,-1,0.997082661937745
23534,-1,0.9970755021200944
65981,-1,0.99707526875033
10083,-1,0.99707526875033
64781,-1,0.99707526875033
1949,-1,0.99707526875033
11101,-1,0.99707526875033
55311,-1,0.9970748767993519
386653,-1,0.9970748503154905
375790,-1,0.9970719451681467
7804,-1,0.9970719451681467
79148,-1,0.9970719451681467
5552,1,0.9970706099075333
5104,-1,0.9970695927223597
64866,-1,0.9970657334116064
3321,-1,0.9970656683679678
642968,-1,0.9970634622228483
8776,-1,0.9970634622228483
8328,-1,0.9970634622228483
285489,-1,0.9970630686943065
666,-1,0.9970621935069924
1493,-1,0.997060070140944
102,-1,0.9970594433347071
6509,-1,0.9970592713987003
57119,-1,0.9970585085803643
4854,-1,0.9970556259998553
118427,-1,0.9970556259998553
57586,-1,0.9970555430553215
80108,-1,0.9970539453925278
55048,-1,0.9970525858691098
342035,1,0.9970522801621944
1861,-1,0.9970515776802876
7809,-1,0.9970483877410559
9744,-1,0.9970481264374436
9050,-1,0.9970481264374436
26191,-1,0.9970481264374436
51762,-1,0.9970481264374436
353219,-1,0.9970460861471953
169611,-1,0.9970459465576165
11098,1,0.9970450223041661
60495,-1,0.9970437324159821
2896,1,0.9970399332019085
200879,-1,0.9970389065410912
25818,-1,0.9970375676093389
57620,-1,0.9970375676093389
100128731,-1,0.997037055580343
9415,-1,0.997037055580343
6693,-1,0.9970369384733829
55852,-1,0.9970369384733829
26003,-1,0.9970361821352263
201292,-1,0.9970361821352263
439,-1,0.9970353972450472
7039,-1,0.9970353972450472
4907,-1,0.9970353972450472
1716,-1,0.9970353972450472
9537,-1,0.9970353972450472
23141,-1,0.9970353972450472
80789,-1,0.9970353972450472
55207,-1,0.9970353972450472
18,-1,0.9970353972450472
79188,-1,0.9970353972450472
56704,-1,0.9970353972450472
9200,-1,0.9970353972450472
859,-1,0.9970353972450472
200728,-1,0.9970353972450472
57465,-1,0.9970353972450472
54602,-1,0.9970353972450472
22934,-1,0.9970351182802761
64094,-1,0.9970342142284072
91582,-1,0.9970341545421715
128989,-1,0.9970321012516705
57507,-1,0.9970313207616406
143425,-1,0.9970309738204868
6814,-1,0.9970309738204868
9437,-1,0.9970309738204868
958,-1,0.9970309738204868
11057,-1,0.9970309738204868
338692,-1,0.9970309738204868
9909,-1,0.9970309738204868
55038,1,0.997029604495667
84954,-1,0.997029604495667
968,1,0.9970290274731594
57142,-1,0.9970290274731594
5319,-1,0.9970283019401256
54900,-1,0.9970283019401256
114336,-1,0.9970248545065394
9453,-1,0.9970224695502129
23500,-1,0.9970224695502129
25825,-1,0.9970224695502129
51330,1,0.9970224695502129
7554,-1,0.9970224695502129
1536,1,0.9970222068287218
11012,-1,0.9970200900429526
84133,-1,0.9970176676691507
55788,-1,0.9970171643991044
550,-1,0.9970161577422726
5961,-1,0.9970150190109353
26469,-1,0.99701261708276
2188,-1,0.9970113837373392
159013,-1,0.9970112174057488
27039,-1,0.9970109203394214
55628,-1,0.9970095386007883
55240,-1,0.9970092922267749
293,-1,0.997008255263846
51161,-1,0.9970079871871641
50717,-1,0.997007296419679
84675,1,0.997007296419679
84060,-1,0.997007296419679
51271,1,0.997007296419679
84676,-1,0.997007296419679
338917,-1,0.997007296419679
768211,-1,0.9970068546959324
4277,-1,0.9970061842708516
80059,-1,0.9970048442245225
1880,-1,0.9970045440394105
54901,-1,0.9970035229875182
84264,-1,0.997003278521561
255403,-1,0.9970029513518203
79836,-1,0.9970017310504038
11332,-1,0.9970017310504038
7054,-1,0.9970017310504038
56271,-1,0.9970017310504038
132789,-1,0.9970017310504038
23087,-1,0.9970017310504038
9587,-1,0.9970009010934624
26993,-1,0.9970009010934624
10439,-1,0.9970000778224479
3486,1,0.9969991833169433
7982,-1,0.9969985357797991
1421,-1,0.99699716013547
283600,-1,0.9969956274405448
6388,-1,0.9969954313958173
10666,-1,0.996994539902827
55298,-1,0.996994539902827
22883,-1,0.9969943204980025
10345,-1,0.9969940575208018
399979,-1,0.9969940575208018
8611,-1,0.9969931323089883
130940,-1,0.9969928923860822
284040,-1,0.9969928923860822
8660,-1,0.9969921707264608
116255,-1,0.996990917535737
5792,1,0.9969899691719637
56926,-1,0.9969899691719637
538,-1,0.9969899691719637
10959,1,0.9969899691719637
23767,-1,0.9969899691719637
79807,-1,0.9969899691719637
116442,-1,0.9969899691719637
64121,-1,0.9969899691719637
4925,-1,0.9969899691719637
23201,-1,0.9969897325758101
51348,-1,0.9969890764995165
10720,-1,0.9969889562426613
51365,1,0.9969889562426613
7038,-1,0.9969889562426613
2046,-1,0.9969889562426613
56986,-1,0.9969889562426613
57642,-1,0.9969889562426613
4067,1,0.9969879168849016
81855,-1,0.9969846456200899
2687,-1,0.9969829280250695
147949,-1,0.9969822964759495
1670,-1,0.9969822665721423
286826,-1,0.996980003219249
10991,-1,0.996978367277114
10899,-1,0.9969769928345789
401409,-1,0.9969769320156359
1444,-1,0.9969761356208592
200315,-1,0.9969758586766791
255057,-1,0.996975825757443
81622,-1,0.9969755724019147
3792,-1,0.9969753933813768
84957,1,0.9969753933813768
3732,1,0.9969753933813768
3958,1,0.9969753933813768
54521,-1,0.9969753933813768
1244,-1,0.9969753933813768
29015,1,0.9969753933813768
27333,-1,0.9969753933813768
29097,1,0.9969753933813768
10630,1,0.9969753933813768
6507,-1,0.9969753933813768
23621,-1,0.9969751520473467
7087,-1,0.9969751520473467
84861,-1,0.9969751520473467
145501,-1,0.9969751520473467
27347,-1,0.9969751520473467
171169,-1,0.9969751520473467
248,-1,0.9969751520473467
8854,-1,0.9969751520473467
5678,-1,0.9969751520473467
54557,-1,0.9969751520473467
2286,-1,0.9969751520473467
5754,-1,0.9969751520473467
116842,-1,0.9969751520473467
3933,-1,0.9969751520473467
84279,-1,0.9969751520473467
3040,-1,0.9969751520473467
1006,-1,0.9969751520473467
10444,-1,0.9969751520473467
54,-1,0.9969751520473467
1270,-1,0.9969751520473467
29851,-1,0.9969751520473467
3681,-1,0.9969751520473467
5420,1,0.9969751520473467
445582,-1,0.9969751520473467
389813,-1,0.9969751520473467
4916,-1,0.9969751520473467
23304,-1,0.9969751520473467
23539,-1,0.9969751520473467
10330,-1,0.9969751520473467
63928,-1,0.9969751520473467
8869,-1,0.9969751520473467
161247,-1,0.9969751520473467
728378,-1,0.9969751520473467
475,-1,0.9969751520473467
5653,-1,0.9969751520473467
84779,-1,0.9969748484502217
55034,-1,0.9969747467201727
7059,-1,0.9969747467201727
55154,-1,0.9969747467201727
137994,-1,0.9969736167409451
10218,-1,0.9969722944867108
23559,-1,0.9969722497391412
88455,-1,0.9969713137174625
1839,1,0.9969711839721556
23194,-1,0.9969710440334336
9025,-1,0.9969710440334336
79917,-1,0.9969710440334336
705,-1,0.9969710440334336
150297,-1,0.9969709784824944
8795,-1,0.996969328378793
121274,-1,0.996969268421438
1586,-1,0.996969268421438
284004,-1,0.996969268421438
57623,-1,0.996969268421438
27111,-1,0.996969268421438
342909,-1,0.996969268421438
29098,-1,0.996969268421438
8545,-1,0.9969691436303425
23155,-1,0.996968981119848
645369,-1,0.9969687160137019
1308,-1,0.9969678394538807
90411,-1,0.9969676238293388
171392,-1,0.9969670703147326
81037,-1,0.9969665312000107
50628,-1,0.9969661752873425
23443,-1,0.9969651516546679
4864,-1,0.996964458898825
51604,-1,0.9969636668173606
29988,-1,0.9969632269660894
79567,-1,0.9969624374263375
51719,-1,0.9969602767683247
8165,-1,0.9969602767683247
26061,-1,0.9969602767683247
167465,-1,0.9969602767683247
9701,-1,0.9969602767683247
10533,-1,0.9969602767683247
79763,-1,0.9969602767683247
124044,-1,0.9969602767683247
254427,-1,0.9969602767683247
8564,-1,0.9969602767683247
196383,-1,0.9969602767683247
4338,-1,0.9969602767683247
112399,-1,0.9969602767683247
643376,-1,0.9969602767683247
79047,-1,0.9969602767683247
85442,-1,0.9969602767683247
221409,-1,0.9969602767683247
64839,-1,0.9969602767683247
79029,-1,0.9969602767683247
51068,-1,0.9969602767683247
81557,-1,0.9969602767683247
2581,-1,0.9969602767683247
9529,-1,0.9969602767683247
130535,1,0.9969602767683247
160140,-1,0.9969602767683247
8200,-1,0.9969592174819039
5563,-1,0.9969586684073883
8506,-1,0.9969585446764477
25974,-1,0.9969581974056739
79269,-1,0.9969581974056739
283871,-1,0.9969581974056739
29950,1,0.9969581974056739
29995,-1,0.9969581974056739
89891,-1,0.9969581974056739
155382,-1,0.9969581974056739
659,-1,0.9969580021497708
51280,-1,0.9969576471686249
90736,-1,0.9969548389579017
130507,-1,0.9969548389579017
9784,-1,0.9969548389579017
1185,-1,0.9969538347369721
80233,-1,0.996953293372798
80235,-1,0.9969530956614279
8728,-1,0.9969529925990326
4040,-1,0.9969513356607608
284099,-1,0.9969510167162663
2187,-1,0.9969507034413736
9403,-1,0.9969503216694683
60681,1,0.9969503216694683
159091,-1,0.9969503216694683
55714,-1,0.9969492200043081
51435,-1,0.9969492200043081
148789,-1,0.9969492200043081
54549,-1,0.9969491557448824
3693,-1,0.9969491557448824
627,-1,0.9969491557448824
63973,-1,0.9969490365880583
27433,-1,0.9969489950786172
115584,-1,0.9969446994360192
57575,-1,0.9969439449504444
65078,-1,0.9969427510561738
7444,1,0.9969426683346515
5100,-1,0.9969414239843299
26018,-1,0.9969403373736149
83990,-1,0.9969401110828215
166793,-1,0.996939864091921
26249,-1,0.996939864091921
378108,-1,0.996939864091921
114991,-1,0.9969396866178503
4103,-1,0.9969396866178503
5798,-1,0.9969393799450248
420,-1,0.9969392746648545
1951,-1,0.9969391792523599
102723631,-1,0.9969380756943883
10616,-1,0.9969377708086005
6903,-1,0.9969377708086005
5720,1,0.996937658030741
57215,-1,0.996937658030741
7556,-1,0.996937658030741
54495,-1,0.9969375489435622
3592,-1,0.996937314355229
2670,1,0.9969369167401243
27239,-1,0.9969363408973936
4653,-1,0.9969363408973936
64332,1,0.9969363408973936
148362,-1,0.9969363408973936
282617,-1,0.9969363408973936
1181,-1,0.9969363408973936
205717,-1,0.9969363408973936
100128569,-1,0.9969363408973936
128408,-1,0.9969363408973936
153745,-1,0.9969363408973936
441294,-1,0.9969363408973936
54436,1,0.9969363408973936
55808,-1,0.9969363408973936
79676,-1,0.9969358173636155
4495,-1,0.9969337914510114
6505,-1,0.9969335576793975
768,-1,0.9969312963872798
202151,-1,0.9969310493183712
3482,-1,0.9969297743007358
80310,-1,0.9969293434863102
91133,-1,0.9969292548352505
56934,-1,0.996928612870233
23784,-1,0.996928612870233
619279,-1,0.9969283281079345
353497,-1,0.9969283281079345
7587,-1,0.9969283281079345
10127,-1,0.9969283281079345
57649,-1,0.9969283281079345
23314,-1,0.9969283281079345
6839,-1,0.9969283281079345
11143,-1,0.9969283281079345
55733,-1,0.9969283281079345
6591,-1,0.9969283281079345
3026,-1,0.9969283281079345
493861,-1,0.9969283281079345
84108,-1,0.9969283281079345
4683,-1,0.9969283281079345
23394,-1,0.9969283281079345
197370,-1,0.9969283281079345
140685,-1,0.9969283281079345
53335,-1,0.9969283281079345
26053,-1,0.9969283281079345
5252,-1,0.9969283281079345
124930,-1,0.9969282325394637
11025,-1,0.9969282325394637
921,-1,0.9969279379869301
1454,-1,0.9969264345929515
9180,1,0.9969258140013235
3964,-1,0.996925127584742
3309,1,0.9969249334253248
51802,-1,0.9969239767194819
79075,-1,0.9969226653498262
29781,-1,0.9969226653498262
23601,1,0.9969218734769035
51175,-1,0.9969205419166113
25946,-1,0.9969204927695278
8312,-1,0.9969195634060583
975,-1,0.9969189813883123
914,-1,0.9969177801577265
473,-1,0.9969175475526404
79703,-1,0.9969170939322534
55897,-1,0.9969165382276007
23126,-1,0.9969165382276007
203076,-1,0.996916347679153
10647,-1,0.9969157679815157
3002,-1,0.9969157679815157
90338,-1,0.9969157679815157
1443,-1,0.9969157679815157
81544,-1,0.9969150348947875
8470,-1,0.9969139833544869
29028,-1,0.9969137825270283
8634,-1,0.9969131511611772
9717,-1,0.9969131511611772
4548,-1,0.9969129137777858
7844,-1,0.9969126618494681
8704,-1,0.9969104944915947
6906,-1,0.9969104944915947
7369,-1,0.9969104944915947
4049,-1,0.9969104944915947
114815,-1,0.9969104944915947
8630,-1,0.9969103436266923
100506658,-1,0.9969103436266923
9019,-1,0.9969103436266923
2117,-1,0.996910080527213
342371,-1,0.9969098278003091
64111,-1,0.9969088213990902
5708,-1,0.9969085302127996
1054,-1,0.9969085302127996
57680,-1,0.9969085302127996
26009,-1,0.9969085302127996
129293,-1,0.9969085302127996
93973,-1,0.9969085302127996
3720,-1,0.9969085302127996
7547,-1,0.9969085302127996
84678,-1,0.9969085302127996
23137,-1,0.9969085302127996
10023,-1,0.9969085302127996
55689,-1,0.9969085302127996
8028,-1,0.9969085302127996
9592,1,0.9969085302127996
144455,-1,0.9969085302127996
83857,-1,0.9969085302127996
2305,-1,0.9969085302127996
338645,-1,0.9969085302127996
7726,-1,0.9969085302127996
6790,-1,0.9969085302127996
6101,-1,0.9969085302127996
51804,-1,0.9969085302127996
283899,-1,0.9969085302127996
7023,-1,0.9969085302127996
25925,-1,0.9969085302127996
115426,-1,0.9969085302127996
57699,-1,0.9969085302127996
221037,-1,0.9969085302127996
51548,-1,0.9969085302127996
9925,-1,0.9969085302127996
132625,-1,0.9969085302127996
4308,-1,0.9969085302127996
164684,-1,0.9969085302127996
7318,-1,0.9969085302127996
54850,-1,0.9969080937181135
10742,-1,0.9969080937181135
57535,-1,0.9969080937181135
2720,-1,0.9969080937181135
7321,-1,0.9969077015519103
22931,-1,0.9969076371563237
5803,-1,0.9969076053436792
11009,-1,0.9969076053436792
283208,-1,0.9969075179442617
90737,-1,0.9969075179442617
7541,-1,0.9969075179442617
6934,-1,0.9969075179442617
51127,-1,0.9969075179442617
2019,-1,0.9969075179442617
54913,-1,0.9969075179442617
51592,-1,0.9969075179442617
131583,-1,0.9969075179442617
6297,-1,0.9969075179442617
171482,-1,0.9969075179442617
10777,-1,0.9969075179442617
1810,-1,0.9969075179442617
7764,1,0.9969075179442617
51327,-1,0.9969075179442617
9767,-1,0.9969075179442617
23199,-1,0.9969075179442617
55231,-1,0.9969075179442617
441519,-1,0.9969075179442617
5684,-1,0.9969075179442617
79802,-1,0.9969075179442617
25862,-1,0.9969075179442617
10320,-1,0.9969075179442617
148423,-1,0.9969075179442617
84296,-1,0.9969075179442617
7325,-1,0.9969075179442617
84449,-1,0.9969075179442617
653489,-1,0.9969075179442617
83695,-1,0.9969075179442617
7188,-1,0.9969075179442617
55122,-1,0.9969075179442617
10495,-1,0.9969075179442617
80263,-1,0.9969075179442617
24149,-1,0.9969075179442617
54882,-1,0.9969075179442617
388228,-1,0.9969073006148639
162333,-1,0.9969070665735865
79654,-1,0.9969067360920937
25852,-1,0.9969067360920937
23414,-1,0.9969060112651927
5523,-1,0.9969057953612666
177,-1,0.9969055562113214
390231,-1,0.9969055562113214
1374,-1,0.9969052375353498
657,-1,0.9969052375353498
5921,-1,0.996904358127876
2065,-1,0.996904358127876
51555,-1,0.996904358127876
5756,1,0.996904358127876
9902,-1,0.996903216585401
2615,1,0.996903216585401
3956,-1,0.996903216585401
5889,-1,0.9969031996039937
51171,-1,0.9969025764354004
8882,1,0.9969015896180731
114088,-1,0.9969015896180731
283349,-1,0.9969015896180731
60682,-1,0.9969013153915818
374899,-1,0.9969013153915818
4835,-1,0.9969013153915818
93487,1,0.9969013153915818
158427,-1,0.9969009376392974
9308,-1,0.9969002224264022
4074,-1,0.9968998249474772
23197,-1,0.9968991828855908
65244,-1,0.9968990703936519
10640,-1,0.9968983582058399
79102,-1,0.9968975702270231
122416,-1,0.9968975702270231
7327,-1,0.9968975702270231
5705,-1,0.9968969602823908
10445,-1,0.9968969602823908
134548,-1,0.9968969602823908
10847,-1,0.9968969602823908
55609,-1,0.9968969602823908
54934,-1,0.9968969602823908
23522,-1,0.9968969602823908
91442,-1,0.9968969602823908
80010,-1,0.9968969602823908
55182,-1,0.9968969602823908
93134,-1,0.9968969602823908
9658,-1,0.9968969602823908
284406,-1,0.9968969602823908
83746,-1,0.9968969602823908
6304,-1,0.9968969602823908
10933,-1,0.9968969602823908
254394,-1,0.9968969602823908
57673,-1,0.9968969602823908
55249,-1,0.9968969602823908
9730,-1,0.9968969602823908
345757,-1,0.996896581482066
5550,-1,0.9968965263006104
51477,-1,0.9968965263006104
286097,-1,0.9968965263006104
4908,-1,0.9968961498948133
4682,-1,0.9968961140205291
199223,-1,0.9968961140205291
29888,-1,0.9968961140205291
1070,-1,0.9968961140205291
112936,-1,0.9968961140205291
10565,-1,0.9968958237545839
10461,-1,0.9968955960507372
40,-1,0.9968949674747866
7528,-1,0.9968944727449315
653082,-1,0.9968944727449315
50943,-1,0.9968944727449315
60468,-1,0.9968944727449315
56160,-1,0.9968944727449315
8242,-1,0.9968944727449315
3239,-1,0.9968944727449315
81545,-1,0.9968944727449315
51230,-1,0.9968944727449315
51438,-1,0.9968944727449315
7227,-1,0.9968944727449315
10893,-1,0.9968944727449315
4901,-1,0.9968944727449315
147923,-1,0.9968944727449315
11189,-1,0.9968944578664372
5649,-1,0.9968943000100351
57162,-1,0.9968943000100351
5858,-1,0.9968941635556465
165545,-1,0.9968940602722718
8553,-1,0.9968938795612324
8099,-1,0.9968935897876988
4893,-1,0.9968935097007526
27319,-1,0.9968935097007526
9230,-1,0.9968935097007526
5742,-1,0.9968935097007526
4257,-1,0.9968935097007526
158431,-1,0.9968934651070082
54830,-1,0.9968926923635416
788,-1,0.9968922250875982
64844,-1,0.9968921840358101
254827,-1,0.9968920359087312
