7321	1.0000
84539	1.0000
4780	1.0000
9817	1.0000
3091	1.0000
3551	1.0000
2475	1.0000
57521	1.0000
8517	1.0000
1147	1.0000
8678	1.0000
997	1.0000
50865	1.0000
57121	1.0000
2918	1.0000
50834	1.0000
701	1.0000
5464	1.0000
581	1.0000
23118	1.0000
6885	1.0000
10892	1.0000
8915	1.0000
7248	1.0000
7249	1.0000
1027	1.0000
2033	1.0000
836	1.0000
4361	1.0000
4683	1.0000
8453	1.0000
6167	1.0000
7124	1.0000
1499	1.0000
999	1.0000
4113	1.0000
129521	1.0000
6171	1.0000
6224	1.0000
10181	1.0000
2869	1.0000
25959	1.0000
84131	1.0000
58157	1.0000
1534	1.0000
4957	1.0000
10128	1.0000
81892	1.0000
10049	1.0000
11333	1.0000
2804	1.0000
51202	1.0000
54929	1.0000
79939	1.0000
93436	1.0000
22890	1.0000
2078	1.0000
8454	1.0000
2547	1.0000
7520	1.0000
8717	1.0000
891	1.0000
983	1.0000
1642	1.0000
3667	1.0000
2237	1.0000
3024	1.0000
10454	1.0000
1399	1.0000
2146	1.0000
23512	1.0000
10111	1.0000
10273	1.0000
3308	1.0000
8726	1.0000
4851	1.0000
5295	1.0000
4149	1.0000
6654	1.0000
2932	1.0000
8312	1.0000
7323	1.0000
3265	1.0000
5894	1.0000
8504	1.0000
8945	1.0000
7422	1.0000
7421	1.0000
51343	1.0000
3654	1.0000
7189	1.0000
9184	1.0000
8795	1.0000
5468	1.0000
6256	1.0000
1457	1.0000
1460	1.0000
3611	1.0000
51176	1.0000
8379	1.0000
