57510	0.9991
10985	0.9989
10527	0.9985
26173	0.9983
9894	0.9981
23592	0.9981
11260	0.9981
84928	0.9979
79711	0.9979
22996	0.9978
3842	0.9978
55770	0.9978
3895	0.9978
177	0.9976
11018	0.9976
50628	0.9976
94015	0.9976
55215	0.9975
23041	0.9975
25950	0.9974
57650	0.9973
55705	0.9973
1315	0.9972
11261	0.9972
51144	0.9972
51338	0.9972
23358	0.9972
10526	0.9972
51107	0.9971
5591	0.9971
23193	0.9971
11014	0.9971
54814	0.9970
3837	0.9970
1969	0.9970
1434	0.9970
25896	0.9969
56926	0.9968
51303	0.9968
7082	0.9967
57003	0.9966
55161	0.9966
10565	0.9966
2935	0.9965
488	0.9965
4267	0.9964
9980	0.9964
23195	0.9964
23039	0.9963
55698	0.9963
221927	0.9962
64786	0.9961
9524	0.9959
22931	0.9959
55127	0.9959
51495	0.9958
4363	0.9958
23310	0.9957
30000	0.9957
2475	0.9957
10067	0.9956
27352	0.9955
22820	0.9955
83985	0.9955
545	0.9954
100506658	0.9953
6767	0.9953
23066	0.9953
2348	0.9953
7037	0.9951
1314	0.9951
9026	0.9951
7272	0.9950
56897	0.9950
490	0.9950
9538	0.9949
400	0.9949
5296	0.9949
958	0.9949
203522	0.9948
55627	0.9948
80185	0.9948
9732	0.9947
57674	0.9946
5825	0.9946
5595	0.9946
54929	0.9946
5250	0.9945
471	0.9945
11171	0.9944
63892	0.9944
5606	0.9944
56886	0.9944
11218	0.9943
80789	0.9943
440026	0.9942
9373	0.9942
975	0.9941
4803	0.9941
1399	0.9941
